"location_id","date","avg_temp_c","is_extreme_heat"
4,2024-09-22,34.19565217391305,1
4,2024-09-24,33.68749976158142,1
4,2024-09-23,33.93333347638448,1
3,2024-09-22,31.90000003317128,0
1,2024-09-23,32.329166650772095,1
1,2024-09-22,32.726086740908414,1
2,2024-09-23,33.12916628519694,1
3,2024-09-25,27.399999618530273,0
4,2024-09-25,30.100000381469727,0
3,2024-09-23,31.56250007947286,0
1,2024-09-24,32.07083328564962,0
1,2024-09-25,27.899999618530273,0
5,2024-09-22,33.60869573510212,1
5,2024-09-23,33.14583317438761,1
2,2024-09-25,28.799999237060547,0
2,2024-09-22,33.32608703944994,1
2,2024-09-24,32.887500047683716,1
3,2024-09-24,31.304166793823242,0
5,2024-09-25,29.899999618530273,0
5,2024-09-24,32.95416649182638,1
