"weather_id","location_id","timestamp","temp_c","precip_mm","is_rain","created_at"
1,1,2024-09-22 01:00:00.000 +0300,27.4,0.0,false,2026-01-19 16:03:55.557 +0200
2,1,2024-09-22 02:00:00.000 +0300,26.9,0.0,false,2026-01-19 16:03:55.557 +0200
3,1,2024-09-22 03:00:00.000 +0300,26.3,0.0,false,2026-01-19 16:03:55.557 +0200
4,1,2024-09-22 04:00:00.000 +0300,25.9,0.0,false,2026-01-19 16:03:55.557 +0200
5,1,2024-09-22 05:00:00.000 +0300,25.6,0.0,false,2026-01-19 16:03:55.557 +0200
6,1,2024-09-22 06:00:00.000 +0300,25.8,0.0,false,2026-01-19 16:03:55.557 +0200
7,1,2024-09-22 07:00:00.000 +0300,26.7,0.0,false,2026-01-19 16:03:55.557 +0200
8,1,2024-09-22 08:00:00.000 +0300,28.9,0.0,false,2026-01-19 16:03:55.557 +0200
9,1,2024-09-22 09:00:00.000 +0300,31.2,0.0,false,2026-01-19 16:03:55.557 +0200
10,1,2024-09-22 10:00:00.000 +0300,33.8,0.0,false,2026-01-19 16:03:55.557 +0200
11,1,2024-09-22 11:00:00.000 +0300,36.1,0.0,false,2026-01-19 16:03:55.557 +0200
12,1,2024-09-22 12:00:00.000 +0300,38.0,0.0,false,2026-01-19 16:03:55.557 +0200
13,1,2024-09-22 13:00:00.000 +0300,39.4,0.0,false,2026-01-19 16:03:55.557 +0200
14,1,2024-09-22 14:00:00.000 +0300,40.2,0.0,false,2026-01-19 16:03:55.557 +0200
15,1,2024-09-22 15:00:00.000 +0300,40.7,0.0,false,2026-01-19 16:03:55.557 +0200
16,1,2024-09-22 16:00:00.000 +0300,40.1,0.0,false,2026-01-19 16:03:55.557 +0200
17,1,2024-09-22 17:00:00.000 +0300,39.2,0.0,false,2026-01-19 16:03:55.557 +0200
18,1,2024-09-22 18:00:00.000 +0300,37.8,0.0,false,2026-01-19 16:03:55.557 +0200
19,1,2024-09-22 19:00:00.000 +0300,36.0,0.0,false,2026-01-19 16:03:55.557 +0200
20,1,2024-09-22 20:00:00.000 +0300,34.1,0.0,false,2026-01-19 16:03:55.557 +0200
21,1,2024-09-22 21:00:00.000 +0300,32.3,0.0,false,2026-01-19 16:03:55.557 +0200
22,1,2024-09-22 22:00:00.000 +0300,30.8,0.0,false,2026-01-19 16:03:55.557 +0200
23,1,2024-09-22 23:00:00.000 +0300,29.5,0.0,false,2026-01-19 16:03:55.557 +0200
24,1,2024-09-23 00:00:00.000 +0300,28.4,0.0,false,2026-01-19 16:03:55.557 +0200
25,2,2024-09-22 01:00:00.000 +0300,28.1,0.0,false,2026-01-19 16:03:55.557 +0200
26,2,2024-09-22 02:00:00.000 +0300,27.5,0.0,false,2026-01-19 16:03:55.557 +0200
27,2,2024-09-22 03:00:00.000 +0300,26.9,0.0,false,2026-01-19 16:03:55.557 +0200
28,2,2024-09-22 04:00:00.000 +0300,26.4,0.0,false,2026-01-19 16:03:55.557 +0200
29,2,2024-09-22 05:00:00.000 +0300,26.0,0.0,false,2026-01-19 16:03:55.557 +0200
30,2,2024-09-22 06:00:00.000 +0300,26.3,0.0,false,2026-01-19 16:03:55.557 +0200
31,2,2024-09-22 07:00:00.000 +0300,27.2,0.0,false,2026-01-19 16:03:55.557 +0200
32,2,2024-09-22 08:00:00.000 +0300,29.5,0.0,false,2026-01-19 16:03:55.557 +0200
33,2,2024-09-22 09:00:00.000 +0300,31.9,0.0,false,2026-01-19 16:03:55.557 +0200
34,2,2024-09-22 10:00:00.000 +0300,34.4,0.0,false,2026-01-19 16:03:55.557 +0200
35,2,2024-09-22 11:00:00.000 +0300,36.9,0.0,false,2026-01-19 16:03:55.557 +0200
36,2,2024-09-22 12:00:00.000 +0300,38.7,0.0,false,2026-01-19 16:03:55.557 +0200
37,2,2024-09-22 13:00:00.000 +0300,40.1,0.0,false,2026-01-19 16:03:55.557 +0200
38,2,2024-09-22 14:00:00.000 +0300,41.0,0.0,false,2026-01-19 16:03:55.557 +0200
39,2,2024-09-22 15:00:00.000 +0300,41.3,0.0,false,2026-01-19 16:03:55.557 +0200
40,2,2024-09-22 16:00:00.000 +0300,40.8,0.0,false,2026-01-19 16:03:55.557 +0200
41,2,2024-09-22 17:00:00.000 +0300,39.9,0.0,false,2026-01-19 16:03:55.557 +0200
42,2,2024-09-22 18:00:00.000 +0300,38.4,0.0,false,2026-01-19 16:03:55.557 +0200
43,2,2024-09-22 19:00:00.000 +0300,36.6,0.0,false,2026-01-19 16:03:55.557 +0200
44,2,2024-09-22 20:00:00.000 +0300,34.7,0.0,false,2026-01-19 16:03:55.557 +0200
45,2,2024-09-22 21:00:00.000 +0300,32.8,0.0,false,2026-01-19 16:03:55.557 +0200
46,2,2024-09-22 22:00:00.000 +0300,31.2,0.0,false,2026-01-19 16:03:55.557 +0200
47,2,2024-09-22 23:00:00.000 +0300,29.9,0.0,false,2026-01-19 16:03:55.557 +0200
48,2,2024-09-23 00:00:00.000 +0300,28.8,0.0,false,2026-01-19 16:03:55.557 +0200
49,3,2024-09-22 01:00:00.000 +0300,26.8,0.0,false,2026-01-19 16:03:55.557 +0200
50,3,2024-09-22 02:00:00.000 +0300,26.2,0.0,false,2026-01-19 16:03:55.557 +0200
51,3,2024-09-22 03:00:00.000 +0300,25.7,0.0,false,2026-01-19 16:03:55.557 +0200
52,3,2024-09-22 04:00:00.000 +0300,25.3,0.0,false,2026-01-19 16:03:55.557 +0200
53,3,2024-09-22 05:00:00.000 +0300,25.0,0.0,false,2026-01-19 16:03:55.557 +0200
54,3,2024-09-22 06:00:00.000 +0300,25.2,0.0,false,2026-01-19 16:03:55.557 +0200
55,3,2024-09-22 07:00:00.000 +0300,26.1,0.0,false,2026-01-19 16:03:55.557 +0200
56,3,2024-09-22 08:00:00.000 +0300,28.2,0.0,false,2026-01-19 16:03:55.557 +0200
57,3,2024-09-22 09:00:00.000 +0300,30.5,0.0,false,2026-01-19 16:03:55.557 +0200
58,3,2024-09-22 10:00:00.000 +0300,33.0,0.0,false,2026-01-19 16:03:55.557 +0200
59,3,2024-09-22 11:00:00.000 +0300,35.4,0.0,false,2026-01-19 16:03:55.557 +0200
60,3,2024-09-22 12:00:00.000 +0300,37.1,0.0,false,2026-01-19 16:03:55.557 +0200
61,3,2024-09-22 13:00:00.000 +0300,38.5,0.0,false,2026-01-19 16:03:55.557 +0200
62,3,2024-09-22 14:00:00.000 +0300,39.2,0.0,false,2026-01-19 16:03:55.557 +0200
63,3,2024-09-22 15:00:00.000 +0300,39.6,0.0,false,2026-01-19 16:03:55.557 +0200
64,3,2024-09-22 16:00:00.000 +0300,39.0,0.0,false,2026-01-19 16:03:55.557 +0200
65,3,2024-09-22 17:00:00.000 +0300,38.1,0.0,false,2026-01-19 16:03:55.557 +0200
66,3,2024-09-22 18:00:00.000 +0300,36.7,0.0,false,2026-01-19 16:03:55.557 +0200
67,3,2024-09-22 19:00:00.000 +0300,34.9,0.0,false,2026-01-19 16:03:55.557 +0200
68,3,2024-09-22 20:00:00.000 +0300,33.1,0.0,false,2026-01-19 16:03:55.557 +0200
69,3,2024-09-22 21:00:00.000 +0300,31.4,0.0,false,2026-01-19 16:03:55.557 +0200
70,3,2024-09-22 22:00:00.000 +0300,30.0,0.0,false,2026-01-19 16:03:55.557 +0200
71,3,2024-09-22 23:00:00.000 +0300,28.7,0.0,false,2026-01-19 16:03:55.557 +0200
72,3,2024-09-23 00:00:00.000 +0300,27.6,0.0,false,2026-01-19 16:03:55.557 +0200
73,4,2024-09-22 01:00:00.000 +0300,28.5,0.0,false,2026-01-19 16:03:55.557 +0200
74,4,2024-09-22 02:00:00.000 +0300,28.0,0.0,false,2026-01-19 16:03:55.557 +0200
75,4,2024-09-22 03:00:00.000 +0300,27.6,0.0,false,2026-01-19 16:03:55.557 +0200
76,4,2024-09-22 04:00:00.000 +0300,27.2,0.0,false,2026-01-19 16:03:55.557 +0200
77,4,2024-09-22 05:00:00.000 +0300,27.0,0.0,false,2026-01-19 16:03:55.557 +0200
78,4,2024-09-22 06:00:00.000 +0300,27.3,0.0,false,2026-01-19 16:03:55.557 +0200
79,4,2024-09-22 07:00:00.000 +0300,28.2,0.0,false,2026-01-19 16:03:55.557 +0200
80,4,2024-09-22 08:00:00.000 +0300,30.4,0.0,false,2026-01-19 16:03:55.557 +0200
81,4,2024-09-22 09:00:00.000 +0300,32.8,0.0,false,2026-01-19 16:03:55.557 +0200
82,4,2024-09-22 10:00:00.000 +0300,35.2,0.0,false,2026-01-19 16:03:55.557 +0200
83,4,2024-09-22 11:00:00.000 +0300,37.6,0.0,false,2026-01-19 16:03:55.557 +0200
84,4,2024-09-22 12:00:00.000 +0300,39.4,0.0,false,2026-01-19 16:03:55.557 +0200
85,4,2024-09-22 13:00:00.000 +0300,40.9,0.0,false,2026-01-19 16:03:55.557 +0200
86,4,2024-09-22 14:00:00.000 +0300,41.7,0.0,false,2026-01-19 16:03:55.557 +0200
87,4,2024-09-22 15:00:00.000 +0300,42.1,0.0,false,2026-01-19 16:03:55.557 +0200
88,4,2024-09-22 16:00:00.000 +0300,41.6,0.0,false,2026-01-19 16:03:55.557 +0200
89,4,2024-09-22 17:00:00.000 +0300,40.7,0.0,false,2026-01-19 16:03:55.557 +0200
