"business_id","date","promo_lift_pct"
202,2024-09-21,15.0
207,2024-09-24,5.0
218,2024-09-26,1.5
208,2024-09-24,10.0
201,2024-09-20,8.5
214,2024-09-28,12.0
211,2024-09-25,24.0
212,2024-09-29,14.0
211,2024-10-04,24.0
213,2024-10-14,8.0
209,2024-09-25,7.5
206,2024-09-24,6.5
205,2024-10-07,4.5
203,2024-09-23,22.0
212,2024-10-06,14.0
212,2024-10-05,14.0
216,2024-10-09,5.5
218,2024-10-24,1.5
205,2024-09-26,9.0
215,2024-09-25,10.0
217,2024-09-23,2.0
218,2024-10-11,1.5
211,2024-09-27,24.0
206,2024-09-23,6.5
204,2024-09-22,12.0
216,2024-10-05,5.5
201,2024-09-28,9.0
207,2024-09-23,5.0
203,2024-10-01,6.0
203,2024-10-05,16.0
218,2024-10-25,1.5
207,2024-09-22,5.0
210,2024-09-26,11.0
217,2024-09-29,2.0
217,2024-09-27,2.0
219,2024-10-04,30.0
218,2024-09-25,1.5
201,2024-09-25,9.0
213,2024-10-13,8.0
218,2024-10-17,1.5
205,2024-10-08,4.5
205,2024-10-06,4.5
205,2024-09-23,9.0
207,2024-09-20,5.0
213,2024-10-04,8.0
215,2024-09-27,10.0
215,2024-09-26,10.0
202,2024-09-26,11.5
218,2024-10-04,1.5
202,2024-09-22,15.0
204,2024-09-28,13.0
209,2024-09-24,7.5
202,2024-09-27,11.5
202,2024-09-28,11.5
215,2024-09-24,10.0
217,2024-09-26,2.0
209,2024-09-22,7.5
218,2024-10-16,1.5
218,2024-10-18,1.5
211,2024-09-29,24.0
207,2024-09-28,5.0
211,2024-09-22,24.0
213,2024-10-09,8.0
209,2024-09-23,7.5
215,2024-10-01,10.0
205,2024-10-09,4.5
207,2024-09-25,5.0
217,2024-09-28,2.0
218,2024-10-23,1.5
203,2024-09-21,22.0
211,2024-10-02,24.0
212,2024-10-04,14.0
211,2024-09-24,24.0
203,2024-09-18,22.0
218,2024-10-01,1.5
213,2024-10-11,8.0
212,2024-10-01,14.0
218,2024-10-08,1.5
205,2024-10-03,4.5
203,2024-10-02,6.0
212,2024-10-03,14.0
216,2024-10-03,5.5
203,2024-10-07,6.0
218,2024-09-28,1.5
207,2024-09-21,5.0
205,2024-09-22,9.0
201,2024-09-29,9.0
203,2024-09-19,22.0
203,2024-09-22,22.0
218,2024-10-07,1.5
218,2024-10-15,1.5
218,2024-10-21,1.5
205,2024-10-10,4.5
215,2024-09-28,10.0
213,2024-10-02,8.0
207,2024-09-30,5.0
210,2024-09-27,11.0
201,2024-09-21,8.5
212,2024-09-30,14.0
201,2024-09-26,9.0
218,2024-10-20,1.5
213,2024-10-08,8.0
213,2024-10-12,8.0
202,2024-09-29,11.5
205,2024-09-21,9.0
211,2024-10-01,24.0
205,2024-09-25,9.0
220,2024-10-06,18.0
214,2024-09-27,12.0
218,2024-09-27,1.5
207,2024-09-29,5.0
216,2024-10-04,5.5
218,2024-09-30,1.5
211,2024-09-28,24.0
211,2024-10-03,24.0
213,2024-10-15,8.0
203,2024-10-04,6.0
218,2024-10-10,1.5
217,2024-09-30,2.0
209,2024-09-27,7.5
215,2024-09-29,10.0
213,2024-10-07,8.0
203,2024-10-03,6.0
213,2024-10-10,8.0
207,2024-09-26,5.0
218,2024-10-12,1.5
201,2024-09-30,9.0
218,2024-10-02,1.5
212,2024-10-02,14.0
213,2024-10-06,8.0
215,2024-09-30,10.0
211,2024-10-05,24.0
202,2024-09-30,11.5
218,2024-10-22,1.5
216,2024-10-08,5.5
216,2024-10-07,5.5
218,2024-10-03,1.5
205,2024-10-04,4.5
205,2024-09-20,9.0
218,2024-10-09,1.5
203,2024-09-24,22.0
210,2024-09-25,11.0
213,2024-10-03,8.0
202,2024-09-23,15.0
216,2024-10-02,5.5
216,2024-10-06,5.5
218,2024-09-29,1.5
205,2024-09-24,9.0
205,2024-10-05,4.5
201,2024-09-27,9.0
218,2024-10-05,1.5
203,2024-09-25,22.0
217,2024-09-24,2.0
214,2024-09-29,12.0
202,2024-10-01,11.5
207,2024-09-27,5.0
213,2024-10-05,8.0
209,2024-09-26,7.5
218,2024-10-19,1.5
214,2024-09-30,12.0
211,2024-09-23,24.0
203,2024-09-20,22.0
205,2024-09-19,9.0
211,2024-09-26,24.0
218,2024-10-13,1.5
209,2024-09-28,7.5
201,2024-09-22,8.5
202,2024-10-02,11.5
218,2024-10-14,1.5
203,2024-10-06,16.0
211,2024-09-30,24.0
218,2024-10-06,1.5
213,2024-10-01,8.0
217,2024-09-25,2.0
